Seq5728;ee=0.013;size=12;	Luciferase34_N
Seq5749;ee=0.021;size=12;	Unsorted_G47
Seq5744;ee=0.011;size=12;	Unsorted_P68
Seq5772;ee=0.0059;size=11;	PD1-Avidin48_A
Seq5781;ee=0.0059;size=11;	GFP49_A
Seq5784;ee=0.011;size=11;	Unsorted_H6
Seq5797;ee=0.042;size=11;	Unsorted_E1
Seq5793;ee=0.0059;size=11;	Unsorted_A63
Seq5830;ee=0.014;size=11;	Unsorted_L18
Seq5890;ee=0.0062;size=11;	PD1-Avidin27_N
Seq5912;ee=0.048;size=11;	Unsorted_J2
Seq5956;ee=0.014;size=11;	CTLA-Tris-Carb13_O
Seq5976;ee=0.0062;size=11;	VEGF13_N
Seq5984;ee=0.0068;size=11;	CTLA-Avidin33_N
Seq5987;ee=0.046;size=11;	Unsorted_G75
Seq5981;ee=0.015;size=11;	Unsorted_E68
Seq5995;ee=0.02;size=11;	Unsorted_I8
Seq6005;ee=0.014;size=11;	PE45_O
Seq6007;ee=0.017;size=11;	Unsorted_B62
Seq6018;ee=0.0088;size=11;	Unsorted_M65
Seq6067;ee=0.0062;size=10;	VEGF33_N
Seq6072;ee=0.015;size=10;	CTLA-Avidin18_E
Seq6104;ee=0.011;size=10;	Unsorted_H32
Seq6143;ee=0.022;size=10;	Unsorted_J3
Seq6132;ee=0.017;size=10;	Unsorted_J26
Seq6158;ee=0.017;size=10;	Unsorted_B24
Seq6174;ee=0.0059;size=10;	PD1-Avidin32_A
Seq6193;ee=0.0059;size=10;	Unsorted_A40
Seq6282;ee=0.0085;size=10;	Unsorted_M61
Seq6297;ee=0.0059;size=10;	Unsorted_A25
Seq6334;ee=0.012;size=10;	Unsorted_P54
Seq6368;ee=0.013;size=9;	Unsorted_L32
Seq6381;ee=0.017;size=9;	Unsorted_J16
Seq6386;ee=0.03;size=9;	Unsorted_N37
Seq6462;ee=0.0059;size=9;	Unsorted_A20
Seq6487;ee=0.014;size=9;	PE47_O
Seq6504;ee=0.055;size=9;	Unsorted_H63
Seq6514;ee=0.015;size=9;	Unsorted_Q52
Seq6510;ee=0.013;size=9;	Unsorted_P46
Seq6568;ee=0.012;size=9;	Unsorted_P34
Seq6601;ee=0.014;size=9;	Unsorted_O19
Seq6623;ee=0.13;size=9;	Unsorted_F64
Seq6653;ee=0.0062;size=9;	VEGF49_N
Seq6658;ee=0.013;size=9;	Unsorted_L67
Seq6660;ee=0.014;size=9;	Unsorted_D10
Seq6678;ee=0.015;size=9;	Unsorted_E11
Seq6729;ee=0.015;size=8;	Unsorted_Q61
Seq6762;ee=0.046;size=8;	Unsorted_I36
Seq6793;ee=0.026;size=8;	Unsorted_P73
Seq6834;ee=0.065;size=8;	Luciferase24_A
Seq6876;ee=0.018;size=8;	Unsorted_D1
Seq6877;ee=0.012;size=8;	Unsorted_P44
Seq6887;ee=0.01;size=8;	VEGF4_N
Seq6904;ee=0.0064;size=8;	Unsorted_N49
Seq6953;ee=0.017;size=8;	Unsorted_F44
Seq6970;ee=0.014;size=8;	PE34_O
Seq6997;ee=0.012;size=8;	Unsorted_P8
Seq7026;ee=0.017;size=8;	Unsorted_J6
Seq7079;ee=0.018;size=8;	Unsorted_B61
Seq7124;ee=0.017;size=7;	Unsorted_B17
Seq7125;ee=0.017;size=7;	Unsorted_I47
Seq7211;ee=0.017;size=7;	Unsorted_J38
Seq7319;ee=0.017;size=7;	Unsorted_J47
Seq7338;ee=0.016;size=7;	Unsorted_B7
Seq7360;ee=0.0062;size=7;	Unsorted_N27
Seq7390;ee=0.011;size=7;	Unsorted_H4
Seq7399;ee=0.015;size=7;	Unsorted_Q63
Seq7437;ee=0.013;size=7;	Unsorted_L57
Seq7446;ee=0.0062;size=7;	Unsorted_N62
Seq7473;ee=0.0062;size=7;	Unsorted_N16
Seq7478;ee=0.017;size=7;	Unsorted_F28
Seq7507;ee=0.46;size=7;	Unsorted_J51
Seq7524;ee=0.015;size=7;	Unsorted_E50
Seq7536;ee=0.0062;size=7;	Unsorted_N23
Seq7537;ee=0.018;size=7;	Unsorted_F68
Seq7547;ee=0.011;size=6;	Unsorted_H12
Seq7572;ee=0.017;size=6;	Unsorted_F57
Seq7585;ee=0.017;size=6;	Unsorted_B40
Seq7596;ee=0.048;size=6;	Unsorted_E32
Seq7605;ee=0.0062;size=6;	Unsorted_N73
Seq7624;ee=0.0059;size=6;	Unsorted_A33
Seq7639;ee=0.017;size=6;	Unsorted_J31
Seq7662;ee=0.012;size=6;	Unsorted_P3
Seq7668;ee=0.057;size=6;	VEGF25_N
Seq7690;ee=0.52;size=6;	Unsorted_D72
Seq7700;ee=0.017;size=6;	Unsorted_J15
Seq7756;ee=0.017;size=6;	Unsorted_F7
Seq7751;ee=0.0064;size=6;	VEGF32_N
Seq7762;ee=0.011;size=6;	Unsorted_H52
Seq7775;ee=0.017;size=6;	Unsorted_F2
Seq7801;ee=0.0064;size=6;	Luciferase26_N
Seq7849;ee=0.0067;size=6;	Unsorted_N43
Seq7866;ee=0.52;size=6;	Unsorted_F48
Seq7871;ee=0.015;size=6;	Unsorted_Q48
Seq7965;ee=0.0062;size=6;	CTLA-Avidin44_N
Seq8009;ee=0.017;size=6;	Unsorted_J7
Seq8043;ee=0.042;size=6;	Unsorted_P57
Seq8052;ee=0.0062;size=6;	Unsorted_N70
Seq4737;ee=0.017;size=16;	Unsorted_F18
Seq8175;ee=0.017;size=5;	Unsorted_F11
Seq8210;ee=0.017;size=5;	Unsorted_J18
Seq8217;ee=0.012;size=5;	Unsorted_P69
Seq8218;ee=0.011;size=5;	Luciferase3_N
Seq8234;ee=0.093;size=5;	Unsorted_P12
Seq8308;ee=0.074;size=5;	Unsorted_H44
Seq8340;ee=0.0059;size=5;	Unsorted_A19
Seq8372;ee=0.015;size=5;	Unsorted_L19
Seq8386;ee=0.021;size=5;	Unsorted_B33
Seq8492;ee=0.014;size=5;	CTLA-Tris-Carb16_O
Seq8494;ee=0.017;size=5;	Unsorted_F10
Seq8514;ee=0.14;size=5;	Unsorted_P55
Seq8540;ee=0.015;size=5;	Unsorted_E59
Seq8555;ee=0.013;size=5;	Unsorted_P16
Seq8581;ee=0.038;size=5;	Unsorted_P61
Seq8649;ee=0.016;size=5;	Unsorted_B14
Seq8694;ee=0.015;size=5;	Unsorted_E25
